Customer_ID,action_id,action_name,priority_score,channel,template,group
CUS000035,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000036,REMIND_APP,Nhắc mở app + ưu đãi chung,0.000979,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000037,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000038,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000039,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.312421,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000040,COUPON10,Coupon 10%/bundle deal,0.126156,App/Email,Tặng Coupon 10% và gợi ý combo phù hợp,HEAVY
CUS000041,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.280821,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000042,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000043,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.228577,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000044,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000045,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000046,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.257271,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000047,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.186985,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000048,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,9.8e-05,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000049,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.242673,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000050,REMIND_APP,Nhắc mở app + ưu đãi chung,0.003877,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000051,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.18056,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000052,REMIND_APP,Nhắc mở app + ưu đãi chung,0.001539,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000053,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000054,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.242587,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000055,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.252299,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000056,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000057,REMIND_APP,Nhắc mở app + ưu đãi chung,0.015522,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000058,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000059,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000060,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.193602,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000061,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,2e-06,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000062,COUPON10,Coupon 10%/bundle deal,0.094992,App/Email,Tặng Coupon 10% và gợi ý combo phù hợp,HEAVY
CUS000063,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.276444,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000064,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.197976,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000065,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000066,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,0.000254,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000067,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.237213,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000068,REMIND_APP,Nhắc mở app + ưu đãi chung,0.001607,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000069,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.220094,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000070,REMIND_APP,Nhắc mở app + ưu đãi chung,0.007418,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000071,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000072,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,0.000101,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000073,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.167151,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000074,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.306,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000075,COUPON10,Coupon 10%/bundle deal,0.059554,App/Email,Tặng Coupon 10% và gợi ý combo phù hợp,HEAVY
CUS000076,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.256524,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000077,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.281229,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000078,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,0.00043,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000079,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,1.9e-05,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000080,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000081,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000082,REMIND_APP,Nhắc mở app + ưu đãi chung,0.007098,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000083,COUPON10,Coupon 10%/bundle deal,0.168518,App/Email,Tặng Coupon 10% và gợi ý combo phù hợp,HEAVY
CUS000084,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000085,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000086,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.227825,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000087,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000088,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.27734,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000089,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.198838,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000090,REMIND_APP,Nhắc mở app + ưu đãi chung,0.008963,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000091,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000092,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.300836,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000093,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000094,REMIND_APP,Nhắc mở app + ưu đãi chung,0.009559,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000095,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,0.000113,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000096,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000097,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.131502,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000098,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.30489,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000099,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.249825,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000100,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000101,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000102,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000103,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000104,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000105,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000106,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000107,COUPON10,Coupon 10%/bundle deal,0.110737,App/Email,Tặng Coupon 10% và gợi ý combo phù hợp,HEAVY
CUS000108,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,4e-06,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000109,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.190197,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000110,REMIND_APP,Nhắc mở app + ưu đãi chung,0.004958,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000111,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,0.00022,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000112,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.331287,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000113,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.187772,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000114,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,0.00027,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000115,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.091216,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000116,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000117,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000118,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.19537,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000119,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000120,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,5e-05,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000121,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.22856,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000122,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000123,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,4.6e-05,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000124,COUPON10,Coupon 10%/bundle deal,0.156897,App/Email,Tặng Coupon 10% và gợi ý combo phù hợp,HEAVY
CUS000125,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,0.000631,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000126,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.2279,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000127,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.294766,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000128,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000129,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.243491,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000130,REMIND_APP,Nhắc mở app + ưu đãi chung,0.014262,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000131,REMIND_APP,Nhắc mở app + ưu đãi chung,0.00708,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000132,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,0.000312,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000133,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.182327,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000134,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000135,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.203566,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000136,REMIND_APP,Nhắc mở app + ưu đãi chung,0.005054,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000137,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.092965,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000138,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,0.000128,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000139,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000140,REMIND_APP,Nhắc mở app + ưu đãi chung,0.001499,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000141,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.177548,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000142,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.062228,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000143,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.12557,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000144,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,0.000305,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000145,REMIND_APP,Nhắc mở app + ưu đãi chung,0.005604,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000146,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.223857,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000147,REMIND_APP,Nhắc mở app + ưu đãi chung,0.001362,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000148,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000149,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.172054,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000150,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000151,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000152,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000153,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000154,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000155,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000156,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000157,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,5.1e-05,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000158,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,0.00027,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000159,REMIND_APP,Nhắc mở app + ưu đãi chung,0.001636,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000160,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000161,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000162,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,2.9e-05,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000163,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,0.00029,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000164,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000165,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000166,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.072564,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000167,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.09461,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000168,COUPON10,Coupon 10%/bundle deal,0.160571,App/Email,Tặng Coupon 10% và gợi ý combo phù hợp,HEAVY
CUS000169,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000170,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.136322,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000171,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.256502,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000172,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000173,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000174,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000175,REMIND_APP,Nhắc mở app + ưu đãi chung,0.00149,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000176,LOYALTY,Đăng ký loyalty/điểm thưởng quay lại,0.079684,In-app,"Thăng hạng loyalty, x2 điểm tuần này",HEAVY
CUS000177,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000178,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000179,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,3.5e-05,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000180,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000181,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,0.000184,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000182,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.232597,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000183,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000184,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000185,REMIND_APP,Nhắc mở app + ưu đãi chung,0.004544,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000186,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.257474,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000187,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000188,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,0.000101,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000189,REMIND_APP,Nhắc mở app + ưu đãi chung,0.005129,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000190,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.16715,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000191,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
